Customer Name,Drink,Flavours,Milk,Qty,Price,Branch,Payment Type,Card Number,Date/Time
Jessica,Matcha Latte,Vanilla,No milk,2.0,25.86,Camden,Cash,4643961311109208,2024-04-12 04:26:00
Chris,Hot Chocolate,Caramel,No milk,2.0,15.05,Croydon,Card,4314115002079830,2024-03-11 02:51:00
Sarah,Hot Chocolate,Vanilla,No milk,3.0,21.64,Camden,Card,4032306368770696,2024-04-04 23:10:00
Ali,Espresso,Vanilla,Soya,3.0,18.6,Camden,Mobile,4353055700295352,2024-11-19 09:09:00
Emily,Hot Chocolate,Vanilla,Semi-Skimmed Milk,1.0,23.14,Croydon,Mobile,4813404081105438,2024-06-25 19:58:00
Jessica,Tea,Oolong,Oa,3.0,8.55,Camden,Cash,,2024-08-18 00:00:00
Ali,Matcha Latte,No Flavour,Semi-Skimmed Milk,4.0,10.74,Brixton,Cash,4374002248317328,2024-05-03 20:02:00
Jessica,Espresso,Hazelnut,No milk,1.0,3.0,Croydon,Card,4095954415935064,2024-02-08 21:52:00
Dave,Cappuccino,No Flavour,1% Milk,1.0,15.18,Croydon,Cash,4427680769716200,2024-11-19 22:28:00
Ali,Espresso,Vanilla,Coconut,1.0,7.41,Camden,Card,,2024-03-10 08:54:00
Emily,Mocha,Vanilla,1% Milk,3.0,13.37,Camden,Cash,4861417905924648,2024-09-19 02:31:00
Ali,Mocha,No Flavour,Soya,1.0,8.44,Croydon,Card,4139045430660450,2024-07-24 10:12:00
Daniel,Flat White,No Flavour,1% Milk,4.0,17.07,Unknown,Card,4234146174679889,2024-03-04 18:54:00
Anonymous,Flat White,Caramel,Coconut,4.0,23.84,Camden,Cash,4968080230300126,2024-11-02 07:40:00
Sarah,Americano,Hazelnut,Coconut,4.0,22.49,Ealing,Card,4454717676845426,2024-02-03 22:17:00
Tom,Cappuccino,Caramel,No milk,3.0,22.34,Ealing,Mobile,4048210102329453,2024-10-28 21:14:00
Anonymous,Cappuccino,Caramel,Soya,3.0,25.1,Croydon,Mobile,4557541926708432,2024-01-10 19:57:00
Sarah,Latte,Hazelnut,Oa,1.0,13.48,Camden,Cash,4230928220667801,2024-08-09 10:15:00
Anonymous,Mocha,Hazelnut,Soya,1.0,9.25,Brixton,Card,4260642873082756,2024-04-03 18:42:00
Tom,Mocha,Vanilla,No milk,2.0,25.74,Ealing,Cash,4883303113155868,2024-02-06 13:30:00
Dave,Hot Chocolate,Caramel,Semi-Skimmed Milk,2.0,20.73,Nottinghill,Cash,4147650526547943,2024-04-02 09:53:00
Sarah,Espresso,Vanilla,1% Milk,3.0,10.31,Croydon,Card,4502029884645773,2024-11-28 06:24:00
Anonymous,Cappuccino,No Flavour,Semi-Skimmed Milk,4.0,6.14,Camden,Cash,4004781825286072,2024-01-31 23:38:00
Daniel,Cappuccino,Hazelnut,No milk,2.0,17.84,Brixton,Cash,4504967085273681,2024-12-13 04:21:00
Tom,Flat White,Hazelnut,Oa,1.0,14.65,Soho,Card,4709241099204759,2024-09-04 21:31:00
Emily,Espresso,No Flavour,Semi-Skimmed Milk,4.0,9.21,Camden,Cash,4405470684756728,2024-07-05 16:26:00
Ali,Flat White,Hazelnut,Semi-Skimmed Milk,4.0,19.23,Nottinghill,Card,4352342671600012,2024-12-09 10:56:00
Daniel,Tea,Peppermint,1% Milk,4.0,11.17,Brixton,Mobile,4537029758874509,2024-11-25 12:18:00
Ali,Latte,No Flavour,Soya,3.0,21.59,Croydon,Card,4996397485227947,2024-08-18 00:00:00
Jessica,Cappuccino,Hazelnut,No milk,2.0,22.77,Camden,Cash,4279788933385115,2024-03-13 00:39:00
Anonymous,Latte,Caramel,Coconut,2.0,6.92,London Bridge,Mobile,4681461093617217,2024-12-14 09:44:00
Tom,Matcha Latte,Hazelnut,No milk,2.0,11.53,Croydon,Card,4502439124260118,2024-06-09 09:53:00
Jessica,Latte,Caramel,Coconut,4.0,20.31,Camden,Mobile,4379149752879785,2024-01-26 23:07:00
Daniel,Americano,Caramel,Oa,3.0,12.45,Nottinghill,Cash,4797301741628244,2024-04-15 06:53:00
Ali,Matcha Latte,No Flavour,Semi-Skimmed Milk,3.0,19.05,Camden,Card,4328941296724712,2024-07-22 10:37:00
Ali,Mocha,No Flavour,No milk,4.0,8.81,Nottinghill,Card,4938179186762786,2024-06-12 03:57:00
Tom,Tea,Green,Coconut,3.0,14.91,Camden,Cash,4623404544475193,2024-10-12 20:58:00
Anonymous,Mocha,Hazelnut,No milk,3.0,16.13,Ealing,Card,4038165213671431,2024-06-09 11:41:00
Anonymous,Tea,English Breakfast,Oa,2.0,3.5,Ealing,Mobile,4556309182414684,2024-08-26 16:15:00
Tom,Flat White,No Flavour,1% Milk,3.0,3.0,Nottinghill,Cash,4646453853656083,2024-01-11 20:09:00
Chris,Tea,Peppermint,Oa,4.0,25.35,Croydon,Mobile,4303549315995798,2024-12-06 11:08:00
Emily,Espresso,No Flavour,No milk,1.0,19.25,Ealing,Cash,4028846347261730,2024-03-06 12:28:00
Anonymous,Cappuccino,Caramel,Coconut,3.0,11.24,Camden,Card,4538523003139294,2024-08-10 04:33:00
Tom,Flat White,No Flavour,Oa,2.0,12.37,Croydon,Mobile,4327772718673533,2024-03-07 17:46:00
Emily,Hot Chocolate,Vanilla,Oa,3.0,3.0,Ealing,Cash,4924247434271343,2024-06-06 18:01:00
Emily,Matcha Latte,Caramel,Semi-Skimmed Milk,3.0,22.09,Croydon,Mobile,4821478553468530,2024-11-06 19:37:00
Priya,Americano,Caramel,No milk,1.0,21.92,Brixton,Cash,4869768867945579,2024-01-24 04:56:00
Tom,Americano,Hazelnut,Soya,2.0,13.59,Nottinghill,Mobile,4688393707139924,2024-01-20 14:08:00
Ali,Cappuccino,Hazelnut,Coconut,1.0,19.59,Soho,Mobile,4198258376721627,2024-03-12 10:39:00
Emily,Flat White,Caramel,Soya,3.0,24.63,Croydon,Mobile,4919850785779293,2024-03-23 11:27:00
Dave,Hot Chocolate,Vanilla,Soya,2.0,11.06,Croydon,Cash,4122063891375591,2024-08-12 05:49:00
Daniel,Tea,English Breakfast,No milk,3.0,16.31,Ealing,Card,4237030593864145,2024-08-18 12:45:00
Priya,Latte,Caramel,1% Milk,4.0,3.5,Croydon,Cash,4266090232930758,2024-06-21 15:38:00
Jessica,Hot Chocolate,Hazelnut,Semi-Skimmed Milk,2.0,24.6,Soho,Card,,2024-01-05 11:55:00
Chris,Hot Chocolate,No Flavour,Soya,3.0,13.09,Brixton,Card,4616923769863489,2024-07-22 14:21:00
Ali,Cappuccino,Hazelnut,Semi-Skimmed Milk,1.0,8.04,Camden,Mobile,4316920838733987,2024-10-02 13:37:00
Dave,Tea,Oolong,Coconut,2.0,25.54,Camden,Cash,4373454441159343,2024-02-03 19:50:00
Jessica,Flat White,No Flavour,1% Milk,1.0,16.68,Brixton,Card,4534776025482705,2024-06-10 03:34:00
Tom,Flat White,Vanilla,Semi-Skimmed Milk,3.0,9.83,Nottinghill,Mobile,4140389817102629,2024-08-23 19:44:00
Sarah,Mocha,Hazelnut,1% Milk,2.0,20.37,Camden,Card,4802768981974986,2024-04-10 11:46:00
Sarah,Flat White,Vanilla,Semi-Skimmed Milk,3.0,25.79,Ealing,Card,4602941637808001,2024-08-18 12:45:00
Tom,Latte,Vanilla,No milk,2.0,24.86,Unknown,Mobile,4112337862346677,2024-05-04 10:41:00
Dave,Americano,No Flavour,1% Milk,3.0,16.84,Soho,Card,4736441998377131,2024-03-16 21:53:00
Priya,Mocha,Hazelnut,Soya,1.0,19.77,Ealing,Unknown,,2024-07-22 21:13:00
Sarah,Tea,Green,Oa,3.0,12.09,Brixton,Cash,4374612444453237,2024-04-06 02:31:00
Sarah,Flat White,Caramel,Oa,3.0,15.62,Croydon,Mobile,,2024-09-26 04:26:00
Daniel,Espresso,Vanilla,Semi-Skimmed Milk,2.0,19.81,Brixton,Card,4049638457752173,2024-02-02 02:32:00
Chris,Mocha,Hazelnut,Semi-Skimmed Milk,4.0,14.56,Nottinghill,Mobile,4263161976129965,2024-07-28 15:44:00
Priya,Hot Chocolate,No Flavour,Oa,2.0,20.73,Ealing,Card,4472071631065028,2024-08-18 00:00:00
Priya,Hot Chocolate,Vanilla,Soya,3.0,10.35,Brixton,Cash,4337197338886230,2024-08-08 18:46:00
Anonymous,Espresso,Vanilla,Coconut,1.0,25.58,Camden,Mobile,4147880051689186,2024-09-28 22:57:00
Jessica,Americano,No Flavour,No milk,2.0,10.69,Nottinghill,Mobile,4331055330092095,2024-02-02 04:01:00
Anonymous,Hot Chocolate,No Flavour,Oa,3.0,8.12,Brixton,Cash,4282367053253615,2024-02-11 12:12:00
Tom,Hot Chocolate,Hazelnut,1% Milk,3.0,9.94,Brixton,Card,4173155990911510,2024-08-18 12:45:00
Ali,Espresso,Vanilla,Soya,1.0,9.88,Croydon,Card,4887077026945598,2024-04-03 21:00:00
Tom,Cappuccino,Caramel,Soya,3.0,17.85,Nottinghill,Card,4803147246438763,2024-02-11 12:34:00
Tom,Tea,Oolong,Coconut,2.0,11.42,Brixton,Cash,4456051826899324,2024-12-02 03:49:00
Chris,Mocha,No Flavour,Oa,3.0,11.96,Nottinghill,Cash,4612547617075531,2024-03-24 14:38:00
Sarah,Matcha Latte,No Flavour,Soya,1.0,15.73,Ealing,Cash,4095507846738660,2024-08-18 00:00:00
Emily,Americano,No Flavour,No milk,3.0,7.18,Camden,Card,4567674469393687,2024-11-07 13:35:00
Daniel,Mocha,Vanilla,Soya,1.0,8.79,Soho,Mobile,4107242177670900,2024-05-17 05:33:00
Tom,Tea,Peppermint,Coconut,1.0,3.5,Nottinghill,Card,4385294341987253,2024-10-09 17:41:00
Jessica,Hot Chocolate,Hazelnut,Coconut,3.0,19.4,Croydon,Mobile,4386135147390369,2024-09-16 13:25:00
Emily,Matcha Latte,Vanilla,Coconut,1.0,12.46,Nottinghill,Cash,4152268799619204,2024-07-05 07:05:00
Sarah,Espresso,Caramel,Coconut,4.0,14.39,London Bridge,Unknown,4285465871427267,2024-06-03 11:02:00
