Customer Name,Drink,Flavours,Milk,Qty,Price,Branch,Payment Type,Card Number,Date/Time
Jessica,Matcha Latte,Vanilla,No milk,2,£25.86,Camden,Cash,4643961311109208,12/04/2024 04:26
,Matcha Latte,No Flavour,No milk,,£21.8,London Bridge,Mobile,4970281896035308,28/03/2024 11:36
Chris,Hot Chocolate,Caramel,No milk,2,£15.05,Croydon,Card,4314115002079830,11/03/2024 02:51
Tom,Espresso,No Flavour,No milk,,£14.91,Ealing,Card,4257467139504427,05/02/2024 16:28
Chris,Mocha,Hazelnut,Coconut,4,£24.08,Ealing,Card,4693245521525090,
Sarah,Hot Chocolate,Vanilla,No milk,3,£21.64,Camden,Card,4032306368770696,04/04/2024 23:10
Ali,Espresso,Vanilla,Soya,3,£18.6,Camden,Mobile,4353055700295352,19/11/2024 09:09
Emily,Hot Chocolate,Vanilla,Semi-Skimmed Milk,1,£23.14,Croydon,Mobile,4813404081105438,25/06/2024 19:58
,Americano,No Flavour,Semi-Skimmed Milk,3,£14.04,Croydon,Mobile,4911035388934295,33/13/2024 10:00
Jessica,Tea,Oolong,Oa,3.0,£8.55,Camden,Cash,,2024/08/18
Ali,Matcha Latte,No Flavour,Semi-Skimmed Milk,4,£10.74,Brixton,Cash,4374002248317328,03/05/2024 20:02
Priya,Mocha,No Flavour,Oa,,£20.11,Ealing,Card,4945852016603772,21/03/2024 06:52
Jessica,Espresso,Hazelnut,No milk,1,Three Pounds,Croydon,Card,4095954415935064,08/02/2024 21:52
Dave,Cappuccino,No Flavour,1% Milk,1,£15.18,Croydon,Cash,4427680769716200,19/11/2024 22:28
Ali,Espresso,Vanilla,Coconut,-1,£7.41,Camden,Card,,10/03/2024 08:54
Emily,Mocha,Vanilla,1% Milk,3,£13.37,Camden,Cash,4861417905924648,19/09/2024 02:31
Daniel,Tea,Peppermint,Coconut,,£12.09,Camden,Card,4231428479290303,2024/08/18
Ali,Mocha,No Flavour,Soya,1,£8.44,Croydon,Card,4139045430660450,24/07/2024 10:12
Daniel,Flat White,No Flavour,1% Milk,4,£17.07,,Card,4234146174679889,04/03/2024 18:54
,Flat White,Caramel,Coconut,4,£23.84,Camden,Cash,4968080230300126,02/11/2024 07:40
Sarah,Americano,Hazelnut,Coconut,4,£22.49,Ealing,Card,4454717676845426,03/02/2024 22:17
Tom,Cappuccino,Caramel,No milk,3,£22.34,Ealing,Mobile,4048210102329453,28/10/2024 21:14
,Cappuccino,Caramel,Soya,3,£25.1,Croydon,Mobile,4557541926708432,10/01/2024 19:57
Sarah,Latte,Hazelnut,Oa,1,£13.48,Camden,Cash,4230928220667801,09/08/2024 10:15
,Mocha,Hazelnut,Soya,1,£9.25,Brixton,Card,4260642873082756,03/04/2024 18:42
Tom,Mocha,Vanilla,No milk,2,£25.74,Ealing,Cash,4883303113155868,06/02/2024 13:30
Dave,Hot Chocolate,Caramel,Semi-Skimmed Milk,2,£20.73,Nottinghill,Cash,4147650526547943,02/04/2024 09:53
Sarah,Espresso,Vanilla,1% Milk,3,£10.31,Croydon,Card,4502029884645773,28/11/2024 06:24
,Cappuccino,No Flavour,Semi-Skimmed Milk,4,£6.14,Camden,Cash,4004781825286072,31/01/2024 23:38
Daniel,Cappuccino,Hazelnut,No milk,2,£17.84,Brixton,Cash,4504967085273681,13/12/2024 04:21
Tom,Flat White,Hazelnut,Oa,1,£14.65,Soho,Card,4709241099204759,04/09/2024 21:31
Emily,Espresso,No Flavour,Semi-Skimmed Milk,4,£9.21,Camden,Cash,4405470684756728,05/07/2024 16:26
Ali,Flat White,Hazelnut,Semi-Skimmed Milk,4,£19.23,Nottinghill,Card,4352342671600012,09/12/2024 10:56
Daniel,Tea,Peppermint,1% Milk,4,£11.17,Brixton,Mobile,4537029758874509,25/11/2024 12:18
Ali,Latte,No Flavour,Soya,3.0,£21.59,Croydon,Card,4996397485227947,2024/08/18
Jessica,Cappuccino,Hazelnut,No milk,2,£22.77,Camden,Cash,4279788933385115,13/03/2024 00:39
,Latte,Caramel,Coconut,2,£6.92,London Bridge,Mobile,4681461093617217,14/12/2024 09:44
Tom,Matcha Latte,Hazelnut,No milk,2,£11.53,Croydon,Card,4502439124260118,09/06/2024 09:53
Jessica,Latte,Caramel,Coconut,4,£20.31,Camden,Mobile,4379149752879785,26/01/2024 23:07
Daniel,Americano,Caramel,Oa,3,£12.45,Nottinghill,Cash,4797301741628244,15/04/2024 06:53
Sarah,Flat White,Caramel,Coconut,,£18.47,,Mobile,4037576663643634,21/11/2024 20:09
Ali,Matcha Latte,No Flavour,Semi-Skimmed Milk,3,£19.05,Camden,Card,4328941296724712,22/07/2024 10:37
Emily,Cappuccino,Vanilla,Soya,,£20.68,Nottinghill,Cash,4886813659187512,02/08/2024 00:45
Ali,Mocha,No Flavour,No milk,4,£8.81,Nottinghill,Card,4938179186762786,12/06/2024 03:57
Tom,Tea,Green,Coconut,3,£14.91,Camden,Cash,4623404544475193,12/10/2024 20:58
,Mocha,Hazelnut,No milk,3,£16.13,Ealing,Card,4038165213671431,09/06/2024 11:41
,Tea,English Breakfast,Oa,2,3.50,Ealing,Mobile,4556309182414684,26/08/2024 16:15
Tom,Flat White,No Flavour,1% Milk,3,Three Pounds,Nottinghill,Cash,4646453853656083,11/01/2024 20:09
Chris,Tea,Peppermint,Oa,4,£25.35,Croydon,Mobile,4303549315995798,06/12/2024 11:08
